Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2020,1065.70,1095.90,1061.55,1085.65,1076.674244803807143242,907347,15132,976917146.00,102937,11.34,34.35,19.95
30-June-2020,1077.90,1078.75,1056.30,1065.70,1067.867181433474698928,435278,18285,464819091.00,99127,22.77,22.45,-12.20
29-June-2020,1033.00,1082.00,1033.00,1076.40,1053.814393630206732302,1727403,20228,1820362145.00,1167441,67.58,49.00,43.40
26-June-2020,1040.00,1062.50,1027.65,1055.60,1043.135876286603367110,601584,25129,627533853.00,228826,38.04,34.85,15.60
25-June-2020,1015.00,1049.00,1007.25,1028.95,1026.015278293824775209,807420,23987,828425256.00,198738,24.61,41.75,13.95
24-June-2020,1045.85,1057.65,1029.70,1032.40,1044.902475650489797064,570032,20409,595627848.00,152791,26.80,27.95,-13.45
23-June-2020,1035.00,1045.00,1016.35,1040.85,1030.922740151855230703,621513,16907,640731885.00,238616,38.39,28.65,5.85
22-June-2020,1023.00,1045.20,1023.00,1028.50,1037.886224729050359825,763426,28199,792349329.00,282116,36.95,22.20,5.50
19-June-2020,1022.00,1042.70,1013.15,1033.65,1030.057253561634486956,717999,21235,739580078.00,99405,13.84,29.55,11.65
18-June-2020,980.00,1024.90,972.25,1019.75,997.549588005255218059,1170646,41363,1167777435.00,374404,31.98,52.65,39.75
17-June-2020,986.55,998.45,974.05,980.90,985.523333637164646188,822825,18096,810913237.00,230329,27.99,24.40,-5.65
16-June-2020,973.00,993.45,952.05,990.35,979.826773591686235126,1421931,44732,1393246064.00,444023,31.23,41.40,17.35
15-June-2020,972.40,973.30,942.65,950.80,953.440214505681214824,922866,28172,879897557.00,473617,51.32,30.65,-21.60
12-June-2020,929.00,986.45,928.00,983.00,957.276522967546359438,737606,24377,706092907.00,135850,18.42,58.45,54.00
11-June-2020,989.00,989.00,965.10,968.65,976.731027331638159995,494738,18120,483225955.00,138060,27.91,23.90,-20.35
10-June-2020,988.20,1000.00,978.40,991.80,989.645090907854598430,1176521,14510,1164338232.00,797646,67.80,21.60,3.60
9-June-2020,1023.90,1025.00,979.35,986.95,1004.049585477699068422,706114,24615,708973469.00,175074,24.79,45.65,-36.95
8-June-2020,1051.00,1066.80,1006.60,1015.45,1033.341914388165405331,1677455,31698,1733384561.00,297188,17.72,60.20,-35.55
5-June-2020,1003.00,1041.80,1002.35,1034.75,1022.380420286891334707,572133,15933,584937577.00,96261,16.82,39.45,31.75
4-June-2020,1026.00,1039.45,991.15,1003.25,1012.812880102066544966,793208,23492,803371279.00,189828,23.93,48.30,-22.75
3-June-2020,1010.00,1045.00,1010.00,1022.10,1029.262039716262525415,630019,20740,648454641.00,210753,33.45,35.00,12.10
2-June-2020,988.00,1005.00,975.40,1000.90,993.676095983012062777,685663,20510,681326933.00,161468,23.55,29.60,12.90
1-June-2020,970.00,995.00,968.50,986.90,987.284146297120357656,577537,20318,570193124.00,161511,27.97,26.50,16.90
29-May-2020,948.00,955.00,923.45,951.25,935.101675344574210318,1724302,21369,1612397689.00,1143892,66.34,31.55,3.25
28-May-2020,917.60,950.00,913.50,945.05,939.908230912937848910,1453812,38433,1366449865.00,585468,40.27,36.50,27.45
27-May-2020,861.00,908.05,857.35,903.80,880.250757637015280294,878059,23847,772912100.00,276292,31.47,50.70,42.80
26-May-2020,850.00,871.80,848.90,853.35,862.412859279219028449,1235077,24793,1065146287.00,735269,59.53,22.90,3.35
22-May-2020,850.10,870.35,833.30,838.90,845.215999180602546589,898221,27219,759190760.00,241987,26.94,37.05,-11.20
21-May-2020,861.20,884.05,852.40,859.80,873.605408578336963062,1357769,29828,1186154342.00,844272,62.18,31.65,-1.40
20-May-2020,835.40,864.00,832.55,858.00,845.349481809259228453,601130,19607,508164934.00,148939,24.78,31.45,22.60
19-May-2020,858.70,867.25,826.00,831.50,845.439312279845286335,770197,26024,651154822.00,261616,33.97,41.25,-27.20
18-May-2020,888.60,888.60,831.25,836.40,845.392457067713309008,1390096,58509,1175176673.00,639774,46.02,57.35,-52.20
